8000,RG,GJ
8100,RG,WB
8200,,
8300,CG,TN
8400,,UE
8500,CG,AP
8600,AT,MH
8700,,
8800,AT,DL
8900,CG,WB
8001,VF,WB
8101,,
8201,,
8301,,
8401,TD,GJ
8501,,
8601,,
8701,,
8801,AC,AP
8901,CG,HR
8002,AT,BR
8102,RL,JH
8202,,
8302,,
8402,,
8502,,
8602,,
8702,,
8802,AC,DL
8902,CG,KO
8003,AT,RJ
8103,,
8203,,
8303,RG,UE
8403,,
8503,,
8603,TD,BR
8703,,
8803,AC,JK
8903,CG,TN
8004,CG,UE
8104,,RJ
8204,,
8304,,
8404,,
8504,,
8604,T24,UE
8704,,
8804,AC,BR
8904,TD,KA
8005,CG,UE
8105,,
8205,,
8305,,
8405,,
8505,,
8605,,
8705,,
8805,ID,MH
8905,RG,GJ
8006,VF,UE
8106,AT,AP
8206,,
8306,,
8406,TD,TN
8506,,
8606,ID,KL
8706,,
8806,VF,MH
8906,AC,WB
8007,VF,MH
8107,AT,RJ
8207,,
8307,RG,UW
8407,,
8507,,
8607,ID,HR
8707,,
8807,TD,TN
8907,AC,KL
8008,AT,AP
8108,,
8208,,
8308,ID,MH
8408,,
8508,,
8608,ID,TN
8708,,
8808,ID,UE
8908,AC,OR
8009,AT,UE
8109,TD,MP
8209,,
8309,,
8409,,
8509,,
8609,,
8709,,
8809,AT,BR
8909,AC,UW
8010,RG,DL
8110,,
8210,,
8310,,
8410,,
8510,,
8610,,
8710,,
8810,,
8910,,
8011,AT,AS
8111,,
8211,,
8311,,
8411,,
8511,AT,GJ
8611,,
8711,,
8811,,
8911,,
8012,AC,TN
8112,,
8212,,
8312,,
8412,,
8512,,
8612,,
8712,T24,AP
8812,,
8912,,
8013,AC,KO
8113,,
8213,,
8313,,
8413,,
8513,,
8613,,
8713,,
8813,,
8913,,
8014,AC,NE
8114,,
8214,,
8314,,
8414,,
8514,,
8614,,
8714,TD,KL
8814,,
8914,,
8015,TD,TN
8115,,
8215,,
8315,,
8415,,
8515,,
8615,,
8715,,
8815,,
8915,,
8016,AT,WB
8116,AT,WB
8216,,
8316,,
8416,,
8516,,
8616,,
8716,,
8816,,
8916,,
8017,VF,KO
8117,,
8217,,
8317,,
8417,,
8517,,
8617,,
8717,,
8817,RG,MP
8917,,
8018,AT,OR
8118,,
8218,,
8318,,
8418,,
8518,,
8618,,
8718,,
8818,,
8918,,
8019,TD,AP
8119,,
8219,,
8319,,
8419,,
8519,,
8619,,
8719,,
8819,,
8919,,
8020,,
8120,,
8220,AT,TN
8320,,
8420,AT,KO
8520,,
8620,,
8720,,
8820,RG,KO
8920,,
8021,,
8121,ID,AP
8221,,
8321,,
8421,UN,MH
8521,AT,BR
8621,,
8721,,
8821,,
8921,,
8022,,
8122,,
8222,,
8322,,
8422,,
8522,,
8622,,
8722,CG,KA
8822,RG,AS
